iter	Accuracy	Logloss
0	0.7717391304	0.6791846874
1	0.7814009662	0.6640916726
2	0.7862318841	0.6510799815
3	0.7874396135	0.6379661959
4	0.7946859903	0.6260173795
5	0.7958937198	0.6165146101
6	0.7910628019	0.606624014
7	0.7971014493	0.597564649
8	0.7958937198	0.5883238758
9	0.7910628019	0.5804945053
10	0.7971014493	0.5738444038
11	0.7983091787	0.5684104192
12	0.8019323671	0.5600386323
13	0.7983091787	0.551547148
14	0.8031400966	0.5454344251
15	0.806763285	0.5401349905
16	0.8103864734	0.5356177618
17	0.8128019324	0.529076446
18	0.8140096618	0.5229147664
19	0.8164251208	0.5173545461
20	0.8140096618	0.5132461266
21	0.8164251208	0.5077230659
22	0.809178744	0.502238695
23	0.8140096618	0.4969577663
24	0.809178744	0.4915901491
25	0.8164251208	0.4864657524
26	0.8164251208	0.4828379617
27	0.8188405797	0.4791078361
28	0.8248792271	0.4743237556
29	0.8260869565	0.470032216
30	0.8248792271	0.4664095778
31	0.8285024155	0.4642773332
32	0.8285024155	0.462022681
33	0.8248792271	0.4592518691
34	0.827294686	0.4567900388
35	0.8224637681	0.452953215
36	0.8285024155	0.4496971354
37	0.827294686	0.4473326556
38	0.827294686	0.4448784825
39	0.8285024155	0.4423386356
40	0.8297101449	0.4400099596
41	0.8285024155	0.4385072826
42	0.8309178744	0.4350034147
43	0.8309178744	0.431468096
44	0.8309178744	0.4293711239
45	0.8309178744	0.4268630528
46	0.8345410628	0.4244788112
47	0.8357487923	0.4230229401
48	0.8321256039	0.4217113224
49	0.8333333333	0.4197029449
50	0.8357487923	0.4175027273
51	0.8381642512	0.4160183954
52	0.8369565217	0.4145952406
53	0.8381642512	0.412777341
54	0.8393719807	0.4116451537
55	0.8381642512	0.4103491563
56	0.8405797101	0.4092628436
57	0.8405797101	0.4076450563
58	0.8405797101	0.4064978923
59	0.8405797101	0.4049812917
60	0.8405797101	0.4033722747
61	0.845410628	0.4019076067
62	0.8442028986	0.3996725796
63	0.8429951691	0.3983448118
