iter	Passed	Remaining
0	135	67838
1	137	34241
2	139	23044
3	140	17440
4	142	14071
5	143	11830
6	145	10231
7	146	9025
8	148	8101
9	150	7366
10	151	6748
11	153	6233
12	154	5790
13	155	5409
14	157	5077
15	158	4790
16	159	4542
17	161	4315
18	162	4117
19	163	3935
20	165	3768
21	166	3616
22	167	3480
23	169	3354
24	171	3266
25	174	3177
26	175	3074
27	177	2986
28	178	2899
29	179	2816
30	181	2742
31	182	2672
32	184	2604
33	185	2541
34	186	2481
35	188	2426
36	189	2372
37	190	2320
38	192	2270
39	194	2240
40	196	2198
41	197	2155
42	198	2114
43	200	2074
44	201	2036
45	202	1999
46	203	1965
47	205	1933
48	207	1906
49	208	1879
50	210	1850
51	211	1822
52	212	1795
53	214	1769
54	215	1742
55	216	1717
56	218	1694
57	219	1671
58	220	1647
59	221	1626
60	223	1605
61	224	1584
62	225	1563
63	226	1544
64	228	1526
65	230	1515
66	231	1497
67	232	1478
68	234	1462
69	235	1446
70	236	1430
71	237	1414
72	239	1399
73	240	1384
74	241	1368
75	242	1354
76	243	1339
77	245	1326
78	246	1313
79	247	1299
80	248	1286
81	250	1277
82	251	1265
83	253	1254
84	254	1242
85	255	1230
86	257	1220
87	258	1210
88	259	1199
89	261	1189
90	262	1179
91	263	1169
92	265	1160
93	267	1154
94	268	1144
95	269	1135
96	271	1126
97	272	1117
98	273	1107
99	274	1098
100	275	1088
101	276	1079
102	277	1070
103	279	1062
104	280	1054
105	281	1045
106	282	1037
107	283	1029
108	284	1022
109	286	1014
110	287	1007
111	288	1000
112	292	1002
113	294	997
114	295	990
115	297	984
116	298	978
117	299	971
118	301	964
119	302	957
120	303	951
121	304	944
122	305	937
123	307	931
124	308	924
125	309	918
126	310	912
127	312	907
128	313	901
129	314	895
130	315	889
131	317	884
132	318	878
133	319	873
134	321	869
135	322	863
136	323	858
137	325	852
138	326	847
139	327	842
140	328	837
141	330	833
142	331	828
143	334	826
144	335	821
145	336	815
146	337	810
147	338	805
148	339	800
149	341	796
150	342	791
151	343	786
152	344	781
153	345	777
154	347	772
155	348	767
156	350	765
157	351	761
158	352	756
159	353	751
160	355	747
161	356	743
162	357	739
163	358	734
164	359	730
165	360	726
166	361	721
167	363	717
168	364	713
169	365	709
170	366	704
171	367	701
172	369	697
173	370	694
174	372	691
175	373	687
176	383	700
177	385	696
178	386	692
179	387	688
180	388	685
181	389	681
182	392	680
183	393	676
184	395	672
185	396	668
186	397	665
187	398	661
188	399	657
189	400	653
190	401	650
191	403	646
192	404	642
193	405	639
194	406	635
195	407	632
